mcg_sicdescription,mcg_naicscode,mcg_industrysector_displayname,mcg_industry_displayname,mcg_name,mcg_subsectortext0,mcg_description
Soybeans,111110,Food & Beverage,Consumer Products,111110 - Soybean Farming,Agriculture,Soybean Farming
"Cash Grains, Nec",111120,Food & Beverage,Consumer Products,111120 - Oilseed (except Soybean) Farming,Agriculture,Oilseed (except Soybean) Farming
"Cash Grains, Nec",111130,Food & Beverage,Consumer Products,111130 - Dry Pea and Bean Farming,Agriculture,Dry Pea and Bean Farming
Wheat,111140,Food & Beverage,Consumer Products,111140 - Wheat Farming,Agriculture,Wheat Farming
Corn,111150,Food & Beverage,Consumer Products,111150 - Corn Farming,Agriculture,Corn Farming
Rice,111160,Food & Beverage,Consumer Products,111160 - Rice Farming,Agriculture,Rice Farming
"Cash Grains, Nec",111191,Food & Beverage,Consumer Products,111191 - Oilseed and Grain Combination Farming,Agriculture,Oilseed and Grain Combination Farming
"Cash Grains, Nec",111199,Food & Beverage,Consumer Products,111199 - All Other Grain Farming,Agriculture,All Other Grain Farming
Irish Potatoes,111211,Food & Beverage,Consumer Products,111211 - Potato Farming,Agriculture,Potato Farming
Vegetables And Melons,111219,Food & Beverage,Consumer Products,111219 - Other Vegetable (except Potato) and Melon Farming,Agriculture,Other Vegetable (except Potato) and Melon Farming
Citrus Fruits,111310,Food & Beverage,Consumer Products,111310 - Orange Groves,Agriculture,Orange Groves
Citrus Fruits,111320,Food & Beverage,Consumer Products,111320 - Citrus (except Orange) Groves,Agriculture,Citrus (except Orange) Groves
Deciduous Tree Fruits,111331,Food & Beverage,Consumer Products,111331 - Apple Orchards,Agriculture,Apple Orchards
Grapes,111332,Food & Beverage,Consumer Products,111332 - Grape Vineyards,Agriculture,Grape Vineyards
Berry Crops,111333,Food & Beverage,Consumer Products,111333 - Strawberry Farming,Agriculture,Strawberry Farming
Berry Crops,111334,Food & Beverage,Consumer Products,111334 - Berry (except Strawberry) Farming,Agriculture,Berry (except Strawberry) Farming
Tree Nuts,111335,Food & Beverage,Consumer Products,111335 - Tree Nut Farming,Agriculture,Tree Nut Farming
"Fruits And Tree Nuts, Nec",111336,Food & Beverage,Consumer Products,111336 - Fruit and Tree Nut Combination Farming,Agriculture,Fruit and Tree Nut Combination Farming
Deciduous Tree Fruits,111339,Food & Beverage,Consumer Products,111339 - Other Noncitrus Fruit Farming,Agriculture,Other Noncitrus Fruit Farming
Food Crops Grown Under Cover,111411,Food & Beverage,Consumer Products,111411 - Mushroom Production,Agriculture,Mushroom Production
Food Crops Grown Under Cover,111419,Food & Beverage,Consumer Products,111419 - Other Food Crops Grown Under Cover,Agriculture,Other Food Crops Grown Under Cover
